#{"t_start": 1738749049.8012466, "env_id": "None"}
r,l,t
1323.824271,7,1.552414
1372.329875,7,1.674523
1324.947013,7,1.792746
1298.886252,7,1.910698
1318.772122,7,2.033738
1318.571035,7,2.14908
1262.515346,7,2.263597
1319.083146,7,2.384289
1333.66347,7,2.544626
1264.913836,7,2.762179
1286.431098,7,2.870485
1333.870351,7,3.047659
1291.639007,7,3.165111
1353.969971,7,3.271136
1323.354995,7,3.3744
1281.429622,7,3.477146
1297.669361,7,3.582038
1309.944646,7,3.695081
1306.409702,7,3.858884
1317.794318,7,4.004287
1294.485494,7,4.124429
1312.373045,7,4.279541
1312.229921,7,4.40325
1275.777755,7,4.506645
1328.877882,7,4.624157
1327.340338,7,4.730666
1310.730521,7,4.849794
1286.597609,7,4.951225
1313.492925,7,5.068963
1310.523514,7,5.231096
1292.176856,7,5.368679
1290.364704,7,5.47749
1309.754133,7,5.62591
1291.56936,7,5.725644
1320.740549,7,5.832577
1350.762309,7,5.94301
1320.42922,7,6.051532
1287.000497,7,6.163417
1301.94986,7,6.276133
1285.695975,7,6.380278
1319.160034,7,6.489025
1313.410483,7,6.636847
1289.5372,7,6.743947
1315.573594,7,6.852729
1302.326833,7,6.956094
1353.799618,7,7.104707
1325.757286,7,7.251885
1313.605537,7,7.478753
1288.744085,7,7.607069
1269.758645,7,7.722767
1297.301766,7,7.924063
1289.092946,7,8.023244
1294.888559,7,8.263895
1302.606337,7,8.491394
1383.092616,7,8.616137
1306.173885,7,8.788851
1313.499729,7,9.024878
1283.341115,7,9.148444
1300.150183,7,9.256845
1326.558374,7,9.361782
1276.475462,7,9.462701
1303.881155,7,9.566355
1315.744903,7,9.679997
1306.616768,7,9.779685
1308.948908,7,9.880959
1301.038617,7,9.98774
1327.453683,7,10.089273
1348.930179,7,10.185352
1336.60237,7,10.286733
1319.413831,7,10.383041
1326.759951,7,10.480939
1338.426822,7,10.591624
1308.368292,7,10.703407
1289.321239,7,10.88989
1350.627834,7,11.078327
1326.250986,7,11.235381
1329.996291,7,11.367962
1310.620901,7,11.474356
1277.69304,7,11.616594
1290.238987,7,11.826201
1328.730308,7,11.952469
1301.751203,7,12.072941
1298.346347,7,12.198593
1347.321638,7,12.306954
1292.651417,7,12.482561
1316.437609,7,12.598264
1281.663962,7,12.726193
1326.55044,7,12.8653
1304.598185,7,12.983967
1311.63919,7,13.09251
1305.039287,7,13.210239
1291.102374,7,13.338799
1302.558544,7,13.478046
1311.549684,7,13.619918
1281.99611,7,13.787345
1304.091106,7,14.017429
1311.150689,7,14.171026
1321.616633,7,14.387288
1319.198816,7,14.562887
1293.979107,7,14.766453
1304.051908,7,15.742784
1298.581559,7,15.943905
1312.533692,7,16.107089
1327.122764,7,16.274513
1313.959141,7,16.442381
1292.958925,7,16.575597
1326.243497,7,16.694848
1308.131027,7,16.80863
1301.2499,7,16.943974
1300.817255,7,17.086968
1359.7368,7,17.215915
1282.813089,7,17.413297
1347.999249,7,17.638226
1319.563084,7,17.841552
1296.956107,7,18.021937
1284.151267,7,18.199488
1322.073389,7,18.362292
1302.181924,7,18.499188
1358.013632,7,18.645975
1315.208645,7,18.779504
1293.712157,7,18.97608
1318.477153,7,19.117491
1292.271503,7,19.265299
1312.064395,7,19.428708
1343.405247,7,19.571279
1304.769141,7,19.725068
1317.434366,7,19.86021
1317.239855,7,20.020098
1296.652554,7,20.163227
1282.259033,7,20.302624
1296.860667,7,20.471235
1301.510412,7,20.620958
